layer,ground_truth_prob,top_1_prob,category,prompt_id
0,1.9551009700080613e-08,0.07307809591293335,movies,p_192
1,9.709864912110788e-09,0.14598767459392548,movies,p_192
2,1.6753947562619942e-08,0.2064184844493866,movies,p_192
3,2.454144087948862e-08,0.19021841883659363,movies,p_192
4,2.6576500999908603e-07,0.076845183968544,movies,p_192
5,2.5957001525966916e-07,0.05691750720143318,movies,p_192
6,2.6689750853847727e-08,0.684459388256073,movies,p_192
7,2.1809190897670305e-08,0.5270493030548096,movies,p_192
8,1.6904267852169141e-07,0.19266457855701447,movies,p_192
9,1.860210652182559e-08,0.23087851703166962,movies,p_192
10,1.2032442597842419e-08,0.33116409182548523,movies,p_192
11,2.9983191041083046e-08,0.24184498190879822,movies,p_192
12,3.24406368434893e-09,0.8641388416290283,movies,p_192
13,3.275622617593399e-08,0.6418348550796509,movies,p_192
14,9.900558151088035e-10,0.9056118130683899,movies,p_192
15,5.825634197265117e-09,0.40923160314559937,movies,p_192
16,6.386669859637095e-09,0.36520808935165405,movies,p_192
17,7.799746404302255e-10,0.4223611354827881,movies,p_192
18,2.359501483084614e-09,0.16613523662090302,movies,p_192
19,8.222615921482657e-10,0.5546212196350098,movies,p_192
20,1.5378317286263155e-08,0.19100183248519897,movies,p_192
21,1.7673031038611953e-08,0.2761273682117462,movies,p_192
22,3.997578446046646e-08,0.05477174371480942,movies,p_192
23,1.1446446279705924e-07,0.15894941985607147,movies,p_192
24,4.6790697183496377e-07,0.0684625506401062,movies,p_192
25,8.257810435452484e-08,0.025255665183067322,movies,p_192
26,5.4740221244742315e-09,0.35665223002433777,movies,p_192
27,3.3896725426529883e-08,0.1080356314778328,movies,p_192
0,2.8885639835607435e-07,0.13356120884418488,movies,p_193
1,1.41155396704562e-07,0.10277935862541199,movies,p_193
2,1.8382385746917862e-07,0.11307837814092636,movies,p_193
3,1.5388594931664556e-07,0.22531458735466003,movies,p_193
4,5.9414020370240905e-08,0.046405818313360214,movies,p_193
5,4.120656882378171e-08,0.050695981830358505,movies,p_193
6,5.174896600124157e-08,0.1706058382987976,movies,p_193
7,2.2808356092696158e-08,0.06782959401607513,movies,p_193
8,2.555772198320483e-07,0.06711378693580627,movies,p_193
9,5.162466436559043e-07,0.25811856985092163,movies,p_193
10,3.6238927236809104e-07,0.06086694076657295,movies,p_193
11,1.6280621366604464e-06,0.12461074441671371,movies,p_193
12,4.1852916865536827e-07,0.4585103392601013,movies,p_193
13,2.730198787048721e-07,0.09028597921133041,movies,p_193
14,4.747483828282384e-08,0.2039051055908203,movies,p_193
15,1.1583182413232862e-07,0.056988149881362915,movies,p_193
16,1.0374202474849881e-07,0.09810210019350052,movies,p_193
17,2.6064537905767793e-07,0.119554303586483,movies,p_193
18,5.267058966751392e-08,0.10002179443836212,movies,p_193
19,1.6212413811445003e-07,0.2220698744058609,movies,p_193
20,1.854317872584943e-07,0.2358952760696411,movies,p_193
21,1.1868751670363054e-07,0.6266492605209351,movies,p_193
22,8.314570436596114e-07,0.4893052577972412,movies,p_193
23,4.753804660140304e-06,0.2942947745323181,movies,p_193
24,1.649899968469981e-05,0.11414909362792969,movies,p_193
25,0.00022638188966084272,0.3933219015598297,movies,p_193
26,0.0004096051852684468,0.22620344161987305,movies,p_193
27,0.00022624539269600064,0.3747501075267792,movies,p_193
0,2.9575860025943257e-05,0.1239502802491188,movies,p_194
1,0.00028373385430313647,0.10349416732788086,movies,p_194
2,6.853575177956372e-05,0.094864621758461,movies,p_194
3,8.173858077498153e-06,0.3427017331123352,movies,p_194
4,1.3031933576712618e-06,0.0417497418820858,movies,p_194
5,2.635411874507554e-05,0.039325859397649765,movies,p_194
6,2.1434079826576635e-05,0.3215072751045227,movies,p_194
7,1.3318383935256861e-05,0.5954036116600037,movies,p_194
8,4.931683361064643e-05,0.5091907382011414,movies,p_194
9,6.556394964718493e-06,0.42123010754585266,movies,p_194
10,1.0431537020849646e-06,0.3987661302089691,movies,p_194
11,2.1103794267673948e-07,0.6373701095581055,movies,p_194
12,1.5765730267958133e-06,0.5869980454444885,movies,p_194
13,5.115492172080849e-07,0.6297170519828796,movies,p_194
14,5.087674139758747e-07,0.36150413751602173,movies,p_194
15,1.3873703608169308e-07,0.5443210005760193,movies,p_194
16,4.1689267504807503e-07,0.32689693570137024,movies,p_194
17,3.695444661389047e-07,0.3349846601486206,movies,p_194
18,4.883409019384999e-07,0.17744776606559753,movies,p_194
19,1.6374256972540024e-07,0.5798075199127197,movies,p_194
20,5.208772222431435e-07,0.30943387746810913,movies,p_194
21,3.4804511983566044e-07,0.5730206966400146,movies,p_194
22,7.582893886137754e-07,0.372843474149704,movies,p_194
23,8.860209845806821e-07,0.4631047546863556,movies,p_194
24,4.7204196107486496e-07,0.28235721588134766,movies,p_194
25,3.0736174494450097e-07,0.08257877826690674,movies,p_194
26,8.466627399172921e-09,0.33762502670288086,movies,p_194
27,1.315112374555838e-08,0.1589832603931427,movies,p_194
0,3.56162601633514e-08,0.1817331314086914,movies,p_195
1,5.614957387933828e-08,0.12135345488786697,movies,p_195
2,5.340741893178347e-08,0.09360834211111069,movies,p_195
3,8.308953169944289e-08,0.1618107706308365,movies,p_195
4,3.3040026892194874e-07,0.0580185130238533,movies,p_195
5,2.2162151935845031e-07,0.07542645186185837,movies,p_195
6,1.8663101286620076e-07,0.19885291159152985,movies,p_195
7,6.508277010652819e-07,0.060496192425489426,movies,p_195
8,4.394113375383313e-07,0.02279985323548317,movies,p_195
9,1.2359005268081091e-06,0.13364987075328827,movies,p_195
10,6.805425414313504e-07,0.18219345808029175,movies,p_195
11,4.096187240065774e-06,0.09794574230909348,movies,p_195
12,3.4835532005672576e-06,0.14732657372951508,movies,p_195
13,5.074767614132725e-06,0.05047786608338356,movies,p_195
14,6.446122370107332e-06,0.049414243549108505,movies,p_195
15,9.08115180209279e-06,0.1262417584657669,movies,p_195
16,3.924405973521061e-06,0.1522085815668106,movies,p_195
17,5.740936558140675e-06,0.06037648394703865,movies,p_195
18,2.5245092274417402e-06,0.10378352552652359,movies,p_195
19,6.477148417616263e-07,0.1557552069425583,movies,p_195
20,3.532090431690449e-06,0.05541655421257019,movies,p_195
21,8.381760380871128e-06,0.12298592180013657,movies,p_195
22,2.4641130949021317e-05,0.3529302477836609,movies,p_195
23,2.7661106287268922e-05,0.21210533380508423,movies,p_195
24,4.5788583520334214e-05,0.10302535444498062,movies,p_195
25,2.5072949938476086e-05,0.4023440480232239,movies,p_195
26,2.0812269212910905e-05,0.21558961272239685,movies,p_195
27,4.4376020014169626e-07,0.327466756105423,movies,p_195
0,1.8461784634382639e-07,0.14789007604122162,movies,p_196
1,4.3455617770860044e-08,0.3161962926387787,movies,p_196
2,1.2909710633834948e-08,0.216068297624588,movies,p_196
3,2.7948625636042834e-09,0.2136533409357071,movies,p_196
4,4.143713994153586e-08,0.10222777724266052,movies,p_196
5,3.438097451180511e-08,0.059962186962366104,movies,p_196
6,6.921534456694189e-10,0.25687116384506226,movies,p_196
7,1.5448902601633563e-08,0.12581804394721985,movies,p_196
8,2.0797306987674347e-08,0.18938831984996796,movies,p_196
9,3.4493414791114674e-09,0.1438404619693756,movies,p_196
10,2.5794637537046583e-09,0.4272371232509613,movies,p_196
11,3.010971738603985e-08,0.2007482349872589,movies,p_196
12,1.3512451602082365e-08,0.19104881584644318,movies,p_196
13,2.106880891972196e-08,0.265628457069397,movies,p_196
14,5.455926377351261e-09,0.38687801361083984,movies,p_196
15,5.522207047192751e-08,0.45154908299446106,movies,p_196
16,8.314501798167839e-08,0.2738538384437561,movies,p_196
17,8.896768832755697e-08,0.16998733580112457,movies,p_196
