category,f1_score,substring_accuracy,judge_score
dances,0.026079308288574906,0.2608695652173913,0.2391304347826087
indigenous_peoples,0.03277797483496585,0.10344827586206896,0.1896551724137931
landmarks,0.08185813886158151,0.03333333333333333,0.16666666666666666
movies,0.0436339276849466,0.13402061855670103,0.12371134020618557
painters,0.02920239196452611,0.10714285714285714,0.10714285714285714
