layer,category,ground_truth_prob,top_1_prob
25,painters,1.2528529395513405e-05,0.19092826877853697
26,dances,2.4604495749375894e-05,0.4365237910786401
26,indigenous_peoples,0.0005394777006647904,0.4046749981955208
26,landmarks,2.261811533434595e-06,0.6547491416335106
26,movies,6.33911475870274e-06,0.4600089677062231
26,painters,2.1405731942536477e-06,0.5849215345723289
27,dances,0.00020022495624870174,0.19870401465374488
27,indigenous_peoples,4.243218395584243e-05,0.1985362113035958
27,landmarks,1.2744130198901379e-05,0.3132471372683843
27,movies,8.255112292744366e-06,0.2284686520081205
27,painters,1.1311126260894666e-05,0.1919609957507678
