layer,ground_truth_prob,top_1_prob,category,prompt_id
0,7.31634486328403e-08,0.24264030158519745,movies,p_224
1,2.6171769604843576e-06,0.24773988127708435,movies,p_224
2,6.163754733279347e-07,0.08365237712860107,movies,p_224
3,7.11803465947014e-07,0.15086416900157928,movies,p_224
4,1.2292077826714376e-06,0.11386354267597198,movies,p_224
5,1.5395679611174273e-06,0.1983717978000641,movies,p_224
6,5.185223699299968e-07,0.6841802000999451,movies,p_224
7,9.914766678775777e-07,0.1259998381137848,movies,p_224
8,2.2774358399146877e-07,0.19216565787792206,movies,p_224
9,1.5470470771106193e-06,0.06031152233481407,movies,p_224
10,1.0054357062472263e-06,0.14001739025115967,movies,p_224
11,1.240568394678121e-06,0.14291097223758698,movies,p_224
12,6.400341590051539e-07,0.1452895849943161,movies,p_224
13,2.0766916009051783e-07,0.3497581481933594,movies,p_224
14,8.541663731875815e-08,0.18245643377304077,movies,p_224
15,1.0622974855323264e-07,0.09343424439430237,movies,p_224
16,2.1824058649144717e-07,0.16087649762630463,movies,p_224
17,2.7393377877160674e-07,0.08404270559549332,movies,p_224
18,3.999718245495387e-08,0.12610453367233276,movies,p_224
19,3.796866820948708e-09,0.5223208665847778,movies,p_224
20,1.7139920593933766e-09,0.4192645251750946,movies,p_224
21,1.1885408213174742e-08,0.2573166787624359,movies,p_224
22,1.3972404566686691e-08,0.2992539405822754,movies,p_224
23,1.7934344498371502e-07,0.38648226857185364,movies,p_224
24,1.2639561646210495e-06,0.0990724042057991,movies,p_224
25,7.977794211910805e-07,0.09737786650657654,movies,p_224
26,4.073362447343243e-08,0.3328806459903717,movies,p_224
27,6.093485467317805e-07,0.11643471568822861,movies,p_224
0,1.647166953944179e-07,0.08901187032461166,movies,p_225
1,2.853154683180037e-06,0.18411070108413696,movies,p_225
2,3.877451945299981e-06,0.14804136753082275,movies,p_225
3,2.5989713776652934e-06,0.1265500783920288,movies,p_225
4,1.5822736543213978e-07,0.025980044156312943,movies,p_225
5,1.5879990655776055e-07,0.04910195991396904,movies,p_225
6,6.690007836596124e-08,0.22611963748931885,movies,p_225
7,1.1301719560208312e-08,0.6218873858451843,movies,p_225
8,9.84764270128835e-09,0.6072468757629395,movies,p_225
9,9.103763431994594e-08,0.31161385774612427,movies,p_225
10,1.1304790348276583e-07,0.36624768376350403,movies,p_225
11,3.280882765466231e-08,0.418445885181427,movies,p_225
12,5.6766058520452134e-08,0.41136735677719116,movies,p_225
13,7.597632389888531e-08,0.4122585952281952,movies,p_225
14,4.7433921679385094e-08,0.37652862071990967,movies,p_225
15,3.447852137128393e-08,0.6676132082939148,movies,p_225
16,4.943430198522947e-08,0.28221121430397034,movies,p_225
17,1.2616447442326262e-08,0.23805835843086243,movies,p_225
18,8.673883833409946e-09,0.3585403859615326,movies,p_225
19,5.094041632958124e-09,0.5637182593345642,movies,p_225
20,2.681771782420128e-08,0.5915675163269043,movies,p_225
21,6.919741224464815e-09,0.6098899245262146,movies,p_225
22,2.55993981568281e-08,0.5844165682792664,movies,p_225
23,5.4774429436577066e-09,0.840437650680542,movies,p_225
24,1.3986378633035201e-07,0.6050313711166382,movies,p_225
25,8.459816172035062e-07,0.14295384287834167,movies,p_225
26,1.3443274049507181e-08,0.6930124163627625,movies,p_225
27,1.5880270609613945e-07,0.30827492475509644,movies,p_225
0,5.052908491620656e-08,0.07736575603485107,movies,p_226
1,9.689099442766747e-07,0.29027992486953735,movies,p_226
2,1.5868505442995229e-06,0.22858989238739014,movies,p_226
