layer,ground_truth_prob,top_1_prob,category,prompt_id
0,2.238028713463791e-07,0.3808050751686096,dances,p_64
1,2.3926459107315168e-06,0.1294817328453064,dances,p_64
2,1.3497457302946714e-06,0.23226553201675415,dances,p_64
3,1.4341592304845108e-06,0.4140660762786865,dances,p_64
4,3.409526834730059e-05,0.060501690953969955,dances,p_64
5,9.524117194814608e-05,0.15864329040050507,dances,p_64
6,2.2177237042342313e-06,0.41947507858276367,dances,p_64
7,7.618240260853781e-07,0.489876389503479,dances,p_64
8,2.858569814634393e-06,0.4064725339412689,dances,p_64
9,2.577562554506585e-06,0.09298515319824219,dances,p_64
10,3.2994250886986265e-06,0.11027103662490845,dances,p_64
11,6.435117825276393e-07,0.08871639519929886,dances,p_64
12,8.610170709744125e-08,0.31441041827201843,dances,p_64
13,2.269664946652483e-06,0.13682757318019867,dances,p_64
14,4.3326846821400977e-07,0.192674919962883,dances,p_64
15,3.4905801840068307e-06,0.2546612024307251,dances,p_64
16,7.99245299276663e-06,0.2094786912202835,dances,p_64
17,1.5771760217830888e-06,0.5343510508537292,dances,p_64
18,5.973621455268585e-07,0.5137326717376709,dances,p_64
19,2.5678755264380015e-06,0.2491978257894516,dances,p_64
20,7.093050840012438e-07,0.2619318664073944,dances,p_64
21,3.7186899248808913e-07,0.37813782691955566,dances,p_64
22,1.1151150829391554e-06,0.21511131525039673,dances,p_64
23,1.141535904025659e-05,0.25012555718421936,dances,p_64
24,1.1464572708064225e-05,0.24764284491539001,dances,p_64
25,5.227711517363787e-05,0.07009495794773102,dances,p_64
26,1.1315871233819053e-05,0.6057149171829224,dances,p_64
27,0.0006608858820982277,0.1911073476076126,dances,p_64
0,2.668950749296073e-08,0.05113961175084114,dances,p_65
1,4.222465292968991e-07,0.1334480345249176,dances,p_65
2,2.1169651631680608e-07,0.07259055227041245,dances,p_65
3,3.975065396844002e-07,0.14575721323490143,dances,p_65
4,5.04863874084549e-06,0.12396050989627838,dances,p_65
5,2.6239242288284004e-05,0.05242936685681343,dances,p_65
6,3.427248202569899e-06,0.567050576210022,dances,p_65
7,4.614208137354581e-06,0.2688264846801758,dances,p_65
8,5.5164346122182906e-06,0.2300330549478531,dances,p_65
9,9.821069397730753e-06,0.13825805485248566,dances,p_65
10,4.8091960707097314e-06,0.12462561577558517,dances,p_65
11,1.8373333432464278e-06,0.23860284686088562,dances,p_65
12,1.4870782933940063e-06,0.21916154026985168,dances,p_65
13,4.3613408706733026e-06,0.38536620140075684,dances,p_65
14,2.026157744694501e-06,0.48361220955848694,dances,p_65
15,1.2591720405907836e-05,0.3907068073749542,dances,p_65
16,2.618650069052819e-05,0.2034333050251007,dances,p_65
17,9.762491572473664e-06,0.40000152587890625,dances,p_65
18,9.614352165954188e-06,0.1837397813796997,dances,p_65
19,1.4118849321675953e-05,0.19898812472820282,dances,p_65
20,1.612273081263993e-06,0.4505678415298462,dances,p_65
21,3.4238482271575776e-07,0.6942580342292786,dances,p_65
22,1.516162569714652e-06,0.2606815993785858,dances,p_65
23,8.896102372091264e-06,0.319722443819046,dances,p_65
24,1.3382961697061546e-05,0.4048808515071869,dances,p_65
25,4.2864652641583234e-05,0.1626788228750229,dances,p_65
26,2.3823074570827885e-06,0.3646658658981323,dances,p_65
27,0.00017671471869107336,0.18198178708553314,dances,p_65
0,2.9868157724877165e-08,0.06855674833059311,dances,p_66
1,2.3291246975531976e-07,0.1900264173746109,dances,p_66
2,4.922166567666864e-07,0.10864610970020294,dances,p_66
3,2.491484337951988e-06,0.2941446900367737,dances,p_66
4,2.5110919523285702e-05,0.1461595594882965,dances,p_66
5,9.100361785385758e-05,0.08652383089065552,dances,p_66
6,4.541084308584686e-06,0.561173141002655,dances,p_66
7,1.2495656847022474e-05,0.19216270744800568,dances,p_66
8,1.3845088915331871e-06,0.47894376516342163,dances,p_66
9,6.2936705944594e-06,0.25332263112068176,dances,p_66
10,3.2231778277491685e-06,0.2820475697517395,dances,p_66
11,2.7157234399055596e-06,0.14380501210689545,dances,p_66
12,5.746319402533118e-07,0.3678223788738251,dances,p_66
13,5.270339443086414e-06,0.34310969710350037,dances,p_66
14,2.122657861036714e-06,0.4165869355201721,dances,p_66
15,1.3113070053805131e-05,0.33605626225471497,dances,p_66
16,4.650869232136756e-05,0.15464824438095093,dances,p_66
17,1.5608620742568746e-05,0.23668821156024933,dances,p_66
18,1.62987744261045e-05,0.12641142308712006,dances,p_66
19,2.7988104193354957e-05,0.3852848708629608,dances,p_66
20,4.435992650542175e-06,0.2525390386581421,dances,p_66
21,5.537878678296693e-06,0.49420469999313354,dances,p_66
22,1.2642266483453568e-05,0.14054273068904877,dances,p_66
23,7.159816595958546e-05,0.1464887261390686,dances,p_66
24,3.614575325627811e-05,0.14556525647640228,dances,p_66
25,0.0003835694515146315,0.030055992305278778,dances,p_66
26,3.975357685703784e-05,0.4503348171710968,dances,p_66
27,0.0011474649654701352,0.19228340685367584,dances,p_66
0,1.0848026477106032e-08,0.1401008516550064,dances,p_67
1,2.126700948679172e-08,0.4964505434036255,dances,p_67
2,3.920744973129331e-08,0.15069857239723206,dances,p_67
3,1.0308366604760977e-08,0.13266532123088837,dances,p_67
4,8.335639734013967e-08,0.25201529264450073,dances,p_67
5,4.018920662929304e-08,0.057494983077049255,dances,p_67
6,4.994348268283488e-10,0.08852963149547577,dances,p_67
7,6.219421644360068e-10,0.5144886374473572,dances,p_67
8,1.895162693443808e-09,0.3703097105026245,dances,p_67
9,2.6046684808989085e-09,0.3467436730861664,dances,p_67
10,3.701314144066714e-09,0.32541486620903015,dances,p_67
11,1.7033539023714184e-08,0.5919591188430786,dances,p_67
12,6.507999028571021e-09,0.7121811509132385,dances,p_67
13,1.3998900705303186e-08,0.4433862864971161,dances,p_67
14,9.465163097743812e-10,0.35035598278045654,dances,p_67
15,2.517550257152834e-08,0.2119797319173813,dances,p_67
16,2.877220062202923e-08,0.311825156211853,dances,p_67
17,4.575549272800572e-09,0.5008456110954285,dances,p_67
18,6.680237252254528e-09,0.25872039794921875,dances,p_67
19,1.6598795671285416e-09,0.5073940753936768,dances,p_67
20,1.1938261490485047e-09,0.7142263650894165,dances,p_67
21,4.665411168502942e-09,0.45413896441459656,dances,p_67
22,9.829789426873958e-09,0.10258841514587402,dances,p_67
23,5.923070744984216e-08,0.04010782763361931,dances,p_67
24,5.4514703862196257e-08,0.041498009115457535,dances,p_67
25,1.6507614191141329e-06,0.14770916104316711,dances,p_67
26,1.106455101762549e-06,0.5481306314468384,dances,p_67
27,9.86516442935681e-06,0.27142781019210815,dances,p_67
0,7.124397516378167e-09,0.1563626378774643,dances,p_68
1,1.9963845687698267e-08,0.4023655951023102,dances,p_68
2,4.949474785576058e-08,0.08744633197784424,dances,p_68
3,1.3757460948227163e-08,0.2972441017627716,dances,p_68
4,6.723120549168016e-08,0.3194536864757538,dances,p_68
5,1.1982132264165557e-07,0.066010020673275,dances,p_68
6,7.024334003347121e-09,0.0948253646492958,dances,p_68
7,3.967100870028162e-09,0.35777831077575684,dances,p_68
8,4.959446187058347e-09,0.37603330612182617,dances,p_68
9,9.839098424890835e-09,0.5877851247787476,dances,p_68
10,8.190055211798608e-08,0.37449732422828674,dances,p_68
11,9.85517885965237e-07,0.2234673798084259,dances,p_68
12,2.2649952313713584e-07,0.5333865880966187,dances,p_68
13,1.5905270345228928e-07,0.34404897689819336,dances,p_68
14,4.119584673389909e-07,0.2652769684791565,dances,p_68
15,3.4546696952020284e-06,0.19379378855228424,dances,p_68
16,7.95470714365365e-06,0.21477097272872925,dances,p_68
17,3.3584292395971715e-06,0.10376685112714767,dances,p_68
18,1.5915728113213845e-07,0.16095572710037231,dances,p_68
19,3.0424118335758976e-08,0.5867387652397156,dances,p_68
20,1.9480950186334667e-08,0.3288809657096863,dances,p_68
21,2.6196323332783322e-08,0.14106418192386627,dances,p_68
22,2.0704607806010245e-08,0.09761599451303482,dances,p_68
23,3.034891449260613e-08,0.0708814263343811,dances,p_68
24,1.5403043107653502e-07,0.026726970449090004,dances,p_68
25,1.5459012274732231e-06,0.1696174591779709,dances,p_68
26,9.426003089174628e-07,0.575002908706665,dances,p_68
27,1.2723700820060913e-05,0.2054552435874939,dances,p_68
0,1.1222068607708025e-08,0.22434082627296448,dances,p_69
1,1.874513522182042e-08,0.21064743399620056,dances,p_69
2,2.913103358537228e-08,0.09419475495815277,dances,p_69
3,3.115857794000476e-08,0.22046871483325958,dances,p_69
4,1.5188291513368313e-07,0.12021704763174057,dances,p_69
5,2.078689789186683e-07,0.19071750342845917,dances,p_69
6,2.8819966857440704e-08,0.09139153361320496,dances,p_69
7,9.53358210153965e-08,0.09127390384674072,dances,p_69
8,4.6499224026774755e-07,0.1684815138578415,dances,p_69
9,1.0912338410662414e-07,0.31501251459121704,dances,p_69
10,8.392298411763477e-08,0.7248286008834839,dances,p_69
11,2.421950000552897e-07,0.7476407289505005,dances,p_69
12,1.6224004184550722e-07,0.794990062713623,dances,p_69
13,1.0414477458198235e-07,0.8375843167304993,dances,p_69
14,1.1315707126868801e-07,0.4493047595024109,dances,p_69
15,5.886109875063994e-07,0.7403672337532043,dances,p_69
16,9.902872761813342e-07,0.6665050983428955,dances,p_69
17,3.2441317898701527e-07,0.2169400453567505,dances,p_69
18,3.826454531008494e-07,0.2068878710269928,dances,p_69
19,2.528947220525879e-07,0.5637226700782776,dances,p_69
