layer,ground_truth_prob,top_1_prob,category,prompt_id
0,1.696581541921205e-08,0.20250611007213593,indigenous_peoples,p_0
1,1.332281840404903e-08,0.43741023540496826,indigenous_peoples,p_0
2,1.1064916982661543e-08,0.5278030037879944,indigenous_peoples,p_0
3,3.0243008097841084e-08,0.2131234109401703,indigenous_peoples,p_0
4,6.210298408859671e-08,0.17936232686042786,indigenous_peoples,p_0
5,2.1756565615760337e-07,0.19154438376426697,indigenous_peoples,p_0
6,7.658685774458718e-08,0.22502084076404572,indigenous_peoples,p_0
7,7.715264587204729e-07,0.2527344822883606,indigenous_peoples,p_0
8,1.1815274092441541e-07,0.17797847092151642,indigenous_peoples,p_0
9,5.433902217077957e-08,0.33283865451812744,indigenous_peoples,p_0
10,4.416906733695214e-07,0.07784277200698853,indigenous_peoples,p_0
11,7.579618710451541e-08,0.11532866954803467,indigenous_peoples,p_0
12,6.790196493966505e-08,0.14086975157260895,indigenous_peoples,p_0
13,1.854396280975834e-08,0.3090224862098694,indigenous_peoples,p_0
14,5.33499777688462e-09,0.34304049611091614,indigenous_peoples,p_0
15,7.758321984852046e-09,0.15225352346897125,indigenous_peoples,p_0
16,1.823856621285813e-08,0.20415744185447693,indigenous_peoples,p_0
17,3.6603719166805604e-08,0.20489980280399323,indigenous_peoples,p_0
18,4.0336271212026986e-08,0.08702439069747925,indigenous_peoples,p_0
19,1.1404146249560654e-07,0.27615585923194885,indigenous_peoples,p_0
20,1.7009658392908023e-07,0.27390915155410767,indigenous_peoples,p_0
21,1.3816192279136885e-07,0.04891406372189522,indigenous_peoples,p_0
22,2.2056713078200119e-07,0.0815364196896553,indigenous_peoples,p_0
23,4.981123424840916e-07,0.04236612841486931,indigenous_peoples,p_0
24,2.497864102224412e-07,0.2968520224094391,indigenous_peoples,p_0
25,9.501852105131547e-08,0.3441017270088196,indigenous_peoples,p_0
26,5.100922795264751e-09,0.9395752549171448,indigenous_peoples,p_0
27,7.890598396897985e-08,0.5612430572509766,indigenous_peoples,p_0
0,5.034834416051126e-08,0.08305022865533829,indigenous_peoples,p_1
1,5.530170099632414e-09,0.2718329429626465,indigenous_peoples,p_1
2,7.84544695875411e-09,0.06713937968015671,indigenous_peoples,p_1
3,1.5020997778947276e-08,0.2773713171482086,indigenous_peoples,p_1
4,2.172636470731959e-07,0.07836813479661942,indigenous_peoples,p_1
5,2.5730951165314764e-06,0.2104450911283493,indigenous_peoples,p_1
6,2.7887983833352337e-07,0.317930668592453,indigenous_peoples,p_1
