layer,ground_truth_prob,top_1_prob,category,prompt_id
0,5.584879758657735e-08,0.18440929055213928,movies,p_160
1,3.3315192826677276e-09,0.1122032105922699,movies,p_160
2,2.8885899894248723e-08,0.0820782408118248,movies,p_160
3,5.178842688025043e-09,0.2935323417186737,movies,p_160
4,1.6241580524933852e-08,0.08424218744039536,movies,p_160
5,2.0437811443230203e-08,0.07844902575016022,movies,p_160
6,5.434348970823066e-09,0.38080623745918274,movies,p_160
7,9.78452963096288e-09,0.08865248411893845,movies,p_160
8,9.279694346275846e-09,0.041683297604322433,movies,p_160
9,2.3151811578969728e-09,0.10369688272476196,movies,p_160
10,1.1677933065001866e-09,0.3178839087486267,movies,p_160
11,1.7665687801482477e-09,0.23020154237747192,movies,p_160
12,7.107915145354582e-09,0.28622063994407654,movies,p_160
13,3.657559810577027e-09,0.23991626501083374,movies,p_160
14,4.735687952894807e-10,0.6430162191390991,movies,p_160
15,1.3220241568134838e-09,0.235585555434227,movies,p_160
16,3.7170411193443442e-09,0.1776621788740158,movies,p_160
17,5.024763272132304e-09,0.15682068467140198,movies,p_160
18,5.796612523312206e-09,0.047950536012649536,movies,p_160
19,7.055612094575281e-09,0.23006536066532135,movies,p_160
20,3.813739102298541e-09,0.3931635320186615,movies,p_160
21,9.697780356532348e-09,0.2543257772922516,movies,p_160
22,1.4229633027440514e-09,0.8350302577018738,movies,p_160
23,1.1102156349807046e-07,0.18772979080677032,movies,p_160
24,6.020637783876737e-07,0.21360403299331665,movies,p_160
25,1.4014148064234178e-06,0.04836871474981308,movies,p_160
26,1.135041770794487e-06,0.37409159541130066,movies,p_160
27,8.955826729106775e-07,0.1359395533800125,movies,p_160
0,1.3880581661851465e-07,0.18440929055213928,movies,p_161
1,4.984124757356767e-07,0.1122032105922699,movies,p_161
2,4.091558309937682e-07,0.0820782408118248,movies,p_161
3,3.9021692543883546e-08,0.2935323417186737,movies,p_161
4,4.4025117773571765e-08,0.08424218744039536,movies,p_161
5,6.965431964545132e-08,0.07844902575016022,movies,p_161
6,5.372224887167931e-09,0.38080623745918274,movies,p_161
7,7.111357547273656e-08,0.08865248411893845,movies,p_161
8,1.877884301393351e-07,0.041683297604322433,movies,p_161
9,1.753635103796114e-08,0.10369688272476196,movies,p_161
10,5.212138276533551e-09,0.3178839087486267,movies,p_161
11,6.0954441494232015e-09,0.23020154237747192,movies,p_161
12,4.516600871085075e-09,0.28622063994407654,movies,p_161
13,2.993502334902587e-08,0.23991626501083374,movies,p_161
14,3.235187895356262e-09,0.6430162191390991,movies,p_161
15,5.806150937814891e-08,0.235585555434227,movies,p_161
16,1.3964010747713473e-07,0.1776621788740158,movies,p_161
17,2.1519741721931496e-07,0.15682068467140198,movies,p_161
18,9.734808514849647e-08,0.047950536012649536,movies,p_161
19,1.1222977214231378e-08,0.23006536066532135,movies,p_161
20,3.8542147251519054e-09,0.3931635320186615,movies,p_161
21,1.654532333361658e-08,0.2543257772922516,movies,p_161
22,5.948871173444559e-09,0.8350302577018738,movies,p_161
23,1.1285273160410725e-07,0.18772979080677032,movies,p_161
24,2.8724815592795494e-07,0.21360403299331665,movies,p_161
25,2.3274653813132318e-06,0.04836871474981308,movies,p_161
26,5.183095709071495e-06,0.37409159541130066,movies,p_161
27,3.873066452797502e-05,0.1359395533800125,movies,p_161
0,1.7177279687530245e-07,0.18440929055213928,movies,p_162
1,1.2045811104144377e-07,0.1122032105922699,movies,p_162
2,1.0496682989469264e-07,0.0820782408118248,movies,p_162
3,4.330526337525953e-08,0.2935323417186737,movies,p_162
4,4.7814573633786495e-08,0.08424218744039536,movies,p_162
5,6.684137332513274e-08,0.07844902575016022,movies,p_162
6,1.1399741595141677e-07,0.38080623745918274,movies,p_162
7,3.0194314604159445e-06,0.08865248411893845,movies,p_162
8,1.0837207810254768e-05,0.041683297604322433,movies,p_162
9,1.9715050711965887e-06,0.10369688272476196,movies,p_162
10,9.28843519432121e-07,0.3178839087486267,movies,p_162
11,6.000307735121169e-07,0.23020154237747192,movies,p_162
12,3.8099520338619186e-07,0.28622063994407654,movies,p_162
13,9.682428299129242e-07,0.23991626501083374,movies,p_162
14,1.4428943018174323e-07,0.6430162191390991,movies,p_162
15,5.985859274915128e-07,0.235585555434227,movies,p_162
16,2.966489489608648e-07,0.1776621788740158,movies,p_162
17,2.3796546599896828e-07,0.15682068467140198,movies,p_162
18,1.9378080651222263e-07,0.047950536012649536,movies,p_162
19,1.3915614260895381e-07,0.23006536066532135,movies,p_162
20,3.076080545838522e-08,0.3931635320186615,movies,p_162
21,3.6653389656748914e-08,0.2543257772922516,movies,p_162
22,3.689775596171785e-08,0.8350302577018738,movies,p_162
23,2.830858250035817e-07,0.18772979080677032,movies,p_162
24,2.5548331450409023e-07,0.21360403299331665,movies,p_162
25,6.0003817452525254e-06,0.04836871474981308,movies,p_162
26,3.73380458995598e-07,0.37409159541130066,movies,p_162
27,1.556063011776132e-06,0.1359395533800125,movies,p_162
0,2.6265125185886973e-08,0.18440929055213928,movies,p_163
1,3.1238240438824505e-08,0.1122032105922699,movies,p_163
2,2.28883791919543e-08,0.0820782408118248,movies,p_163
3,4.552790144884966e-09,0.2935323417186737,movies,p_163
4,4.190818714278066e-08,0.08424218744039536,movies,p_163
5,1.2775953628363368e-08,0.07844902575016022,movies,p_163
6,7.49188142079582e-11,0.38080623745918274,movies,p_163
7,8.8903073791613e-10,0.08865248411893845,movies,p_163
8,4.888036642114457e-09,0.041683297604322433,movies,p_163
9,2.465262716189187e-10,0.10369688272476196,movies,p_163
10,4.9709108357332e-11,0.3178839087486267,movies,p_163
11,1.9706436482636036e-10,0.23020154237747192,movies,p_163
12,1.388182624406653e-10,0.28622063994407654,movies,p_163
13,3.9276934482579406e-10,0.23991626501083374,movies,p_163
14,3.519088145886862e-11,0.6430162191390991,movies,p_163
15,5.299074512521429e-10,0.235585555434227,movies,p_163
16,3.0687019592079423e-09,0.1776621788740158,movies,p_163
17,4.712061851819271e-09,0.15682068467140198,movies,p_163
18,6.783368089458008e-09,0.047950536012649536,movies,p_163
19,2.8605492974342894e-10,0.23006536066532135,movies,p_163
20,9.9073339809852e-11,0.3931635320186615,movies,p_163
21,1.2604638166546778e-10,0.2543257772922516,movies,p_163
22,2.377733565595008e-10,0.8350302577018738,movies,p_163
23,4.745521753335424e-09,0.18772979080677032,movies,p_163
24,8.869831091828928e-09,0.21360403299331665,movies,p_163
25,6.003255492714743e-08,0.04836871474981308,movies,p_163
26,2.771718072835938e-07,0.37409159541130066,movies,p_163
27,8.532480933354236e-06,0.1359395533800125,movies,p_163
0,1.4233423328846584e-08,0.18440929055213928,movies,p_164
1,1.6481251918776252e-08,0.1122032105922699,movies,p_164
2,1.5254075336201822e-08,0.0820782408118248,movies,p_164
3,2.2105226538116085e-09,0.2935323417186737,movies,p_164
4,1.181477404799125e-08,0.08424218744039536,movies,p_164
5,6.78345202231867e-09,0.07844902575016022,movies,p_164
6,9.5435020996959e-11,0.38080623745918274,movies,p_164
7,1.0543051986999785e-09,0.08865248411893845,movies,p_164
8,1.8073684771025e-09,0.041683297604322433,movies,p_164
9,2.579693125781546e-10,0.10369688272476196,movies,p_164
10,4.0494102515609143e-10,0.3178839087486267,movies,p_164
11,2.502142715243849e-09,0.23020154237747192,movies,p_164
12,4.846203993658094e-10,0.28622063994407654,movies,p_164
13,2.2969459667621095e-09,0.23991626501083374,movies,p_164
14,7.546275271330671e-10,0.6430162191390991,movies,p_164
15,7.9748492254339e-09,0.235585555434227,movies,p_164
16,1.4012535132224002e-08,0.1776621788740158,movies,p_164
17,2.74613327633233e-08,0.15682068467140198,movies,p_164
18,4.9504738086625366e-08,0.047950536012649536,movies,p_164
19,8.987128374826625e-09,0.23006536066532135,movies,p_164
20,1.805972371649034e-09,0.3931635320186615,movies,p_164
21,1.3313284918936574e-09,0.2543257772922516,movies,p_164
22,9.632898922973254e-10,0.8350302577018738,movies,p_164
23,2.719532865569363e-08,0.18772979080677032,movies,p_164
24,2.7624608378573612e-08,0.21360403299331665,movies,p_164
25,2.39943886981564e-07,0.04836871474981308,movies,p_164
26,4.865546543442179e-07,0.37409159541130066,movies,p_164
27,2.025390676863026e-05,0.1359395533800125,movies,p_164
0,1.1209380978982608e-08,0.18440929055213928,movies,p_165
1,1.5963661326168221e-07,0.1122032105922699,movies,p_165
2,1.4907116963058797e-07,0.0820782408118248,movies,p_165
3,4.482600957089744e-08,0.2935323417186737,movies,p_165
4,1.684263395418384e-08,0.08424218744039536,movies,p_165
5,7.726519157813527e-08,0.07844902575016022,movies,p_165
6,5.845404604798432e-09,0.38080623745918274,movies,p_165
7,3.11430703447968e-08,0.08865248411893845,movies,p_165
8,1.1633512286834957e-07,0.041683297604322433,movies,p_165
9,3.2493993273874366e-08,0.10369688272476196,movies,p_165
10,1.6112588596683963e-08,0.3178839087486267,movies,p_165
11,3.104897317030009e-08,0.23020154237747192,movies,p_165
12,2.51021745611979e-08,0.28622063994407654,movies,p_165
13,4.9064016849342806e-08,0.23991626501083374,movies,p_165
14,3.238459722609832e-09,0.6430162191390991,movies,p_165
15,1.1505245645082596e-08,0.235585555434227,movies,p_165
16,3.825821437430932e-08,0.1776621788740158,movies,p_165
17,2.0352215912566862e-08,0.15682068467140198,movies,p_165
18,4.303314682374548e-08,0.047950536012649536,movies,p_165
19,6.663458407274447e-08,0.23006536066532135,movies,p_165
20,2.2202117477831962e-08,0.3931635320186615,movies,p_165
21,5.383996182217743e-08,0.2543257772922516,movies,p_165
22,4.494196570448139e-09,0.8350302577018738,movies,p_165
23,3.144451454772934e-07,0.18772979080677032,movies,p_165
24,9.885438885248732e-07,0.21360403299331665,movies,p_165
25,4.91903665533755e-06,0.04836871474981308,movies,p_165
26,4.289366643206449e-06,0.37409159541130066,movies,p_165
27,1.251069534191629e-05,0.1359395533800125,movies,p_165
0,3.1449033599528775e-08,0.18440929055213928,movies,p_166
1,2.5218490407041827e-08,0.1122032105922699,movies,p_166
2,1.1929425625112344e-07,0.0820782408118248,movies,p_166
3,4.8763393323270066e-08,0.2935323417186737,movies,p_166
4,1.461708905026171e-07,0.08424218744039536,movies,p_166
5,2.2711820690801687e-07,0.07844902575016022,movies,p_166
6,1.847136843480257e-08,0.38080623745918274,movies,p_166
7,2.081433478906547e-07,0.08865248411893845,movies,p_166
8,7.992528026079526e-07,0.041683297604322433,movies,p_166
9,3.4621871236595325e-07,0.10369688272476196,movies,p_166
10,2.3413346639244992e-07,0.3178839087486267,movies,p_166
11,4.0337752693631046e-07,0.23020154237747192,movies,p_166
12,1.1213049333491654e-07,0.28622063994407654,movies,p_166
13,2.8437011678761337e-07,0.23991626501083374,movies,p_166
14,5.787657997302631e-08,0.6430162191390991,movies,p_166
15,4.827308544008702e-07,0.235585555434227,movies,p_166
16,1.0864977184610325e-06,0.1776621788740158,movies,p_166
17,2.035330453509232e-06,0.15682068467140198,movies,p_166
18,1.1026555512216873e-05,0.047950536012649536,movies,p_166
19,2.1434705104184104e-06,0.23006536066532135,movies,p_166
20,1.4035149433766492e-06,0.3931635320186615,movies,p_166
21,9.873908766167006e-07,0.2543257772922516,movies,p_166
22,1.4823284288922878e-07,0.8350302577018738,movies,p_166
23,1.8915515056505683e-06,0.18772979080677032,movies,p_166
24,2.5477272629359504e-06,0.21360403299331665,movies,p_166
25,3.7725169477198506e-06,0.04836871474981308,movies,p_166
26,3.128941159502574e-07,0.37409159541130066,movies,p_166
27,5.991724378873187e-07,0.1359395533800125,movies,p_166
0,8.311032928531858e-08,0.18440929055213928,movies,p_167
1,1.7097223690143437e-06,0.1122032105922699,movies,p_167
2,2.4049236344581004e-06,0.0820782408118248,movies,p_167
