layer,ground_truth_prob,top_1_prob,region,prompt_id
0,2.540795351890779e-10,0.26907050609588623,latam,p_941
1,7.879746299899182e-10,0.26346534490585327,latam,p_941
2,6.221701820408043e-09,0.15069882571697235,latam,p_941
3,6.59850556417041e-08,0.09761973470449448,latam,p_941
4,4.408929044075194e-07,0.018935922533273697,latam,p_941
5,9.557835483064991e-07,0.033573586493730545,latam,p_941
6,1.561605387223608e-07,0.09041310846805573,latam,p_941
7,4.218009408418766e-08,0.09274177998304367,latam,p_941
8,5.2813224016290405e-08,0.09320315718650818,latam,p_941
9,1.42708129757807e-08,0.02650090679526329,latam,p_941
10,2.7567668148265057e-09,0.050836775451898575,latam,p_941
11,4.3787757419977424e-08,0.022011423483490944,latam,p_941
12,1.2084585776506174e-08,0.0718991681933403,latam,p_941
13,8.665482775782607e-10,0.08890867233276367,latam,p_941
14,5.696131899490808e-10,0.1727897822856903,latam,p_941
15,1.855133546779797e-10,0.14292562007904053,latam,p_941
16,3.0774272019584714e-10,0.08899535238742828,latam,p_941
17,1.37440092640162e-09,0.1864953190088272,latam,p_941
18,9.147378965401742e-10,0.2495276927947998,latam,p_941
19,3.0800950678866457e-09,0.12706921994686127,latam,p_941
20,1.21119625440258e-09,0.0812252089381218,latam,p_941
21,1.6488664877911674e-09,0.19872711598873138,latam,p_941
22,1.8525227185595128e-10,0.5982451438903809,latam,p_941
23,6.470225688559594e-09,0.43683159351348877,latam,p_941
24,1.2810140503916045e-08,0.07789743691682816,latam,p_941
25,7.362427556500961e-09,0.10142285376787186,latam,p_941
26,2.3829778150741276e-09,0.1614244133234024,latam,p_941
27,3.3989095982178696e-09,0.1982351392507553,latam,p_941
28,1.2047333131093296e-09,0.29508644342422485,latam,p_941
29,6.189082579766136e-10,0.6633566617965698,latam,p_941
30,3.5536346087994275e-10,0.5080350041389465,latam,p_941
31,6.599426005671205e-10,0.593952476978302,latam,p_941
32,5.632085353646232e-10,0.7066218256950378,latam,p_941
33,8.618673774662966e-09,0.35649481415748596,latam,p_941
34,6.344318990159081e-07,0.28695833683013916,latam,p_941
35,5.290493390930351e-06,0.2195531278848648,latam,p_941
0,5.1373007181609864e-08,0.2222195863723755,latam,p_942
1,1.182022391077453e-08,0.13799062371253967,latam,p_942
2,5.0376765869941664e-08,0.1020597368478775,latam,p_942
3,7.541920155063053e-08,0.0664840117096901,latam,p_942
4,1.006515867629787e-05,0.021251149475574493,latam,p_942
5,4.4808639358961955e-06,0.1473436802625656,latam,p_942
6,1.347708916910051e-06,0.31487008929252625,latam,p_942
7,8.369092086013552e-08,0.2595839500427246,latam,p_942
8,2.1199529243176585e-08,0.412931352853775,latam,p_942
9,1.3282651423196512e-08,0.12219429761171341,latam,p_942
10,5.368090416624227e-09,0.050261445343494415,latam,p_942
11,1.3284002342572876e-08,0.03559102490544319,latam,p_942
12,3.112730695420396e-08,0.028589321300387383,latam,p_942
13,4.23425099427277e-08,0.03416363149881363,latam,p_942
14,7.168021198822316e-08,0.02794172428548336,latam,p_942
15,1.7609842473120807e-08,0.060748614370822906,latam,p_942
16,5.67555069608261e-09,0.04247305169701576,latam,p_942
17,1.7847140654225768e-08,0.07512380927801132,latam,p_942
