layer,ground_truth_prob,top_1_prob,region,prompt_id
0,8.485825446769013e-07,0.01571669802069664,latam,p_1882
1,5.462200647343707e-07,0.023124653846025467,latam,p_1882
2,8.995397138278349e-08,0.006391910370439291,latam,p_1882
3,7.475891017350023e-09,0.0870838388800621,latam,p_1882
4,1.0032862292064237e-06,0.019580960273742676,latam,p_1882
5,9.742242355059716e-07,0.007518507074564695,latam,p_1882
6,6.687368170332775e-08,0.02015828713774681,latam,p_1882
7,1.7967225574011536e-07,0.0287429578602314,latam,p_1882
8,5.505040334696787e-08,0.013053777627646923,latam,p_1882
9,1.0547143602934739e-07,0.016100270673632622,latam,p_1882
10,1.1631479992502136e-06,0.014823570847511292,latam,p_1882
11,1.610931121831527e-06,0.014500518329441547,latam,p_1882
12,5.969586254650494e-06,0.03167567774653435,latam,p_1882
13,2.193352884205524e-06,0.016702517867088318,latam,p_1882
14,1.419350383002893e-06,0.05811771750450134,latam,p_1882
15,1.6052915725595085e-06,0.005424578208476305,latam,p_1882
16,2.5042688776011346e-06,0.006687228102236986,latam,p_1882
17,6.444735845434479e-06,0.017393389716744423,latam,p_1882
18,3.841319539787946e-06,0.013320076279342175,latam,p_1882
19,2.2690444438921986e-06,0.026798807084560394,latam,p_1882
20,1.3223625501268543e-06,0.02759283222258091,latam,p_1882
21,3.3273170174652478e-06,0.101192407310009,latam,p_1882
22,1.3290391507325694e-05,0.12306993454694748,latam,p_1882
23,4.2083656808245e-06,0.4205852448940277,latam,p_1882
24,9.780399523151573e-06,0.25023025274276733,latam,p_1882
25,1.1270067261648364e-05,0.15707239508628845,latam,p_1882
26,1.2167189197498374e-05,0.06935909390449524,latam,p_1882
27,1.7910730093717575e-05,0.06184449419379234,latam,p_1882
28,7.7047016020515e-06,0.030378693714737892,latam,p_1882
29,4.841721874981886e-06,0.06271292269229889,latam,p_1882
30,8.29793316370342e-06,0.10433939099311829,latam,p_1882
31,3.852040026686154e-05,0.09022758156061172,latam,p_1882
0,2.9042969345027814e-06,0.01381915993988514,latam,p_1883
1,8.226141289924271e-06,0.012230719439685345,latam,p_1883
2,2.412484150227101e-07,0.009076082147657871,latam,p_1883
3,3.8240057165239705e-07,0.006295719649642706,latam,p_1883
4,3.4189763482572744e-06,0.020850354805588722,latam,p_1883
5,2.9928727940387034e-07,0.012347527779638767,latam,p_1883
6,6.593083526240662e-06,0.013854844495654106,latam,p_1883
7,5.056899681221694e-07,0.05862659960985184,latam,p_1883
8,1.8290882053406676e-06,0.022410910576581955,latam,p_1883
9,1.862951080511266e-06,0.0068640573881566525,latam,p_1883
