layer,ground_truth_prob,top_1_prob,region,prompt_id
0,2.508188101657538e-11,0.25983843207359314,latam,p_6587
1,9.445442344935273e-11,0.17363764345645905,latam,p_6587
2,1.2462024467918553e-10,0.3354496359825134,latam,p_6587
3,7.697821269303518e-10,0.035588040947914124,latam,p_6587
4,2.746428720001859e-07,0.01984803006052971,latam,p_6587
5,4.0821942093316466e-07,0.04283784329891205,latam,p_6587
6,2.5432706252104254e-07,0.06964031606912613,latam,p_6587
7,1.675564220704473e-07,0.057724617421627045,latam,p_6587
8,2.5993436736371223e-08,0.7558839917182922,latam,p_6587
9,6.233926796994638e-08,0.09238171577453613,latam,p_6587
10,1.6535433644548903e-07,0.16440416872501373,latam,p_6587
11,1.5757119342652004e-07,0.4536716341972351,latam,p_6587
12,7.292095816069377e-09,0.940497875213623,latam,p_6587
13,3.1601356198507347e-08,0.19557009637355804,latam,p_6587
14,5.1894112118588964e-08,0.06346550583839417,latam,p_6587
15,6.558855858429524e-08,0.14477461576461792,latam,p_6587
16,8.462269107667453e-08,0.14782240986824036,latam,p_6587
17,1.1280855005679769e-07,0.16920222342014313,latam,p_6587
18,1.0252897197915445e-07,0.20085979998111725,latam,p_6587
19,1.4278778337484255e-07,0.18685483932495117,latam,p_6587
20,3.912727564170382e-08,0.2063852697610855,latam,p_6587
21,2.4365377271351463e-07,0.17700530588626862,latam,p_6587
22,3.691402810090949e-07,0.12528659403324127,latam,p_6587
23,6.510812227134011e-07,0.35428228974342346,latam,p_6587
24,5.326687073647918e-07,0.1310180127620697,latam,p_6587
25,4.684368377638748e-07,0.17463473975658417,latam,p_6587
26,1.3617344052363478e-07,0.1413194090127945,latam,p_6587
27,1.4486751354070293e-07,0.1660965234041214,latam,p_6587
28,1.2478409416871727e-07,0.3459165692329407,latam,p_6587
29,1.972559999785517e-07,0.23061414062976837,latam,p_6587
30,9.748523410735288e-08,0.14525964856147766,latam,p_6587
31,5.7712981060831225e-08,0.4323062002658844,latam,p_6587
32,9.479325768779745e-09,0.8344712257385254,latam,p_6587
33,2.3380758440438854e-10,0.66560298204422,latam,p_6587
34,1.846017561035751e-08,0.429977148771286,latam,p_6587
35,2.2927154077478917e-06,0.28192079067230225,latam,p_6587
0,7.063750279145964e-11,0.1736425757408142,latam,p_6588
1,5.163838245891839e-10,0.09916344285011292,latam,p_6588
2,3.06838354724448e-09,0.22942465543746948,latam,p_6588
3,3.167211204413434e-08,0.05997680872678757,latam,p_6588
4,1.520906971563818e-05,0.029600033536553383,latam,p_6588
5,1.2579171198012773e-06,0.09053809195756912,latam,p_6588
6,1.212122128890769e-06,0.08445477485656738,latam,p_6588
7,2.885203969071881e-07,0.01372785959392786,latam,p_6588
8,4.736448033781926e-08,0.05849737673997879,latam,p_6588
9,3.944702697822322e-08,0.027997035533189774,latam,p_6588
10,3.105429868810461e-07,0.049434445798397064,latam,p_6588
11,9.452629257111766e-08,0.06966152042150497,latam,p_6588
12,1.6174722361483873e-07,0.020891573280096054,latam,p_6588
13,1.7635104043733918e-08,0.023623105138540268,latam,p_6588
14,4.301832134956385e-08,0.02197224088013172,latam,p_6588
15,7.097130438893373e-09,0.030134472995996475,latam,p_6588
16,1.4226557709662302e-08,0.04018321633338928,latam,p_6588
17,8.041421750704103e-08,0.11441053450107574,latam,p_6588
18,8.520788696841919e-08,0.10489771515130997,latam,p_6588
19,1.0373287295806222e-07,0.08415210992097855,latam,p_6588
20,4.999112093173608e-07,0.10968668013811111,latam,p_6588
21,1.9837198124150746e-06,0.05448837950825691,latam,p_6588
22,1.8174762317357818e-07,0.10617263615131378,latam,p_6588
23,4.960975275025703e-08,0.5601932406425476,latam,p_6588
24,3.1090085172991166e-08,0.07256753742694855,latam,p_6588
25,6.331127622161148e-09,0.13070231676101685,latam,p_6588
26,9.757892271977653e-09,0.11915867775678635,latam,p_6588
27,1.1893812157381944e-08,0.24105289578437805,latam,p_6588
28,3.884994992375823e-09,0.8022852540016174,latam,p_6588
29,6.580096467700969e-09,0.8071706295013428,latam,p_6588
30,1.262266948742763e-07,0.20067456364631653,latam,p_6588
