layer,ground_truth_prob,top_1_prob,region,prompt_id
0,2.3257682641997235e-06,0.010712802410125732,latam,p_0
1,3.2197901873587398e-06,0.039165809750556946,latam,p_0
2,8.389248051798859e-08,0.013784293085336685,latam,p_0
3,1.9367783821166995e-08,0.014314521104097366,latam,p_0
4,3.044018015430083e-08,0.008732660673558712,latam,p_0
5,3.880688836943591e-08,0.018599269911646843,latam,p_0
6,1.4700544852530584e-06,0.014328000135719776,latam,p_0
7,3.6884989640384447e-06,0.03325415030121803,latam,p_0
8,1.8949592117678549e-07,0.08479819446802139,latam,p_0
9,2.871707351914665e-07,0.01653778739273548,latam,p_0
10,2.2761990692288236e-07,0.06937628239393234,latam,p_0
11,9.05363108927304e-08,0.024502351880073547,latam,p_0
12,3.91415397871242e-07,0.020290948450565338,latam,p_0
13,1.9164483546774136e-06,0.00882574450224638,latam,p_0
14,3.900002866430441e-06,0.016223233193159103,latam,p_0
15,4.4443353885981196e-07,0.014977164566516876,latam,p_0
16,3.4175195651187096e-07,0.017783161252737045,latam,p_0
17,4.5202600631455425e-06,0.01949814148247242,latam,p_0
18,2.4470873540849425e-06,0.2539914846420288,latam,p_0
19,9.575993544785888e-07,0.0719115287065506,latam,p_0
20,8.377438831530526e-08,0.1728234589099884,latam,p_0
21,9.676777068534648e-08,0.43733224272727966,latam,p_0
22,2.4157133182711732e-08,0.4794752895832062,latam,p_0
23,1.247285053018743e-10,0.8773448467254639,latam,p_0
24,1.595778620355759e-08,0.6540825366973877,latam,p_0
25,2.181565816883335e-09,0.7631250619888306,latam,p_0
26,8.679754692764163e-09,0.4777480661869049,latam,p_0
27,9.238372911113402e-08,0.3227340281009674,latam,p_0
28,1.8867347534978762e-05,0.3178545832633972,latam,p_0
29,2.109469824063126e-05,0.3203110098838806,latam,p_0
30,0.0004471583233680576,0.2700441777706146,latam,p_0
31,0.0009931070962920785,0.2177942544221878,latam,p_0
0,4.055702333971567e-07,0.0178009495139122,latam,p_1
1,5.64333276997786e-07,0.01958169974386692,latam,p_1
2,1.2366346027192776e-06,0.023804092779755592,latam,p_1
3,2.4218127236963483e-06,0.016513818874955177,latam,p_1
4,1.6089862810986233e-06,0.01063272263854742,latam,p_1
5,2.5254087177017936e-07,0.029920171946287155,latam,p_1
6,2.4863078351700096e-07,0.059412628412246704,latam,p_1
7,3.9255306205632223e-07,0.06426062434911728,latam,p_1
8,2.4256746655737516e-06,0.017650408670306206,latam,p_1
9,2.2954491214477457e-06,0.0809517651796341,latam,p_1
10,1.1636454928520834e-06,0.010896716266870499,latam,p_1
11,5.790756858914392e-06,0.0797426849603653,latam,p_1
12,3.892627944424021e-07,0.013151498511433601,latam,p_1
13,8.481935083182179e-07,0.018642693758010864,latam,p_1
14,2.750253088379395e-06,0.007952970452606678,latam,p_1
15,5.192095613892889e-06,0.01499021053314209,latam,p_1
16,1.4502227259072242e-06,0.01727164350450039,latam,p_1
17,6.180222271723324e-07,0.008671676740050316,latam,p_1
18,2.7672166424963507e-07,0.011457966640591621,latam,p_1
19,2.674005941116775e-07,0.02494318038225174,latam,p_1
20,5.157050395609986e-07,0.015514407306909561,latam,p_1
21,2.868432602554094e-07,0.008213062770664692,latam,p_1
22,8.053230544646794e-07,0.03139166533946991,latam,p_1
23,1.2897799024358392e-06,0.02002944052219391,latam,p_1
24,9.34818103814905e-07,0.016565222293138504,latam,p_1
25,4.708434175881848e-07,0.023632220923900604,latam,p_1
26,4.836721814172051e-07,0.01817338727414608,latam,p_1
27,8.22298432012758e-07,0.04243741184473038,latam,p_1
28,4.821170591640112e-07,0.1162475198507309,latam,p_1
29,4.4126360876362014e-07,0.05936422944068909,latam,p_1
30,1.8058265993659006e-07,0.2509278357028961,latam,p_1
31,2.5231088329746854e-07,0.11969171464443207,latam,p_1
0,4.969031124346657e-06,0.010880338959395885,latam,p_2
1,3.5546229355531977e-06,0.045357272028923035,latam,p_2
2,1.0697711871898719e-07,0.02231965959072113,latam,p_2
3,2.4347510674260775e-08,0.021542230620980263,latam,p_2
4,6.316061273992091e-08,0.010901562869548798,latam,p_2
5,1.25876724155205e-07,0.024886533617973328,latam,p_2
6,8.240544246973514e-08,0.02207900956273079,latam,p_2
7,4.0774541076871174e-08,0.03442101925611496,latam,p_2
8,2.5424432337217695e-08,0.016153020784258842,latam,p_2
9,1.0296693275790858e-08,0.024674471467733383,latam,p_2
10,5.927288437845846e-09,0.06979136168956757,latam,p_2
11,5.45405214325001e-08,0.04586562141776085,latam,p_2
12,2.412657806871721e-07,0.009539682418107986,latam,p_2
13,3.969448414409271e-07,0.005555391777306795,latam,p_2
14,1.258049309171838e-07,0.017457736656069756,latam,p_2
15,4.404316911177375e-08,0.009389127604663372,latam,p_2
16,3.149241223354693e-08,0.013595708645880222,latam,p_2
17,5.209062123867625e-07,0.00995624903589487,latam,p_2
18,4.477158483950916e-07,0.027516387403011322,latam,p_2
19,2.694586669349519e-07,0.03598605841398239,latam,p_2
20,3.2723121989874926e-07,0.025824837386608124,latam,p_2
21,7.277317877196765e-07,0.02799230068922043,latam,p_2
22,4.019353383455382e-08,0.8658822178840637,latam,p_2
23,8.311916843695144e-08,0.5894086956977844,latam,p_2
24,1.527335030004906e-06,0.33175185322761536,latam,p_2
25,8.454943554170313e-07,0.28028878569602966,latam,p_2
26,9.63585307545145e-07,0.1243901327252388,latam,p_2
27,1.348656724076136e-06,0.07808179408311844,latam,p_2
28,2.546724090279895e-06,0.24569499492645264,latam,p_2
29,2.272446181450505e-06,0.15711134672164917,latam,p_2
30,4.475760988498223e-07,0.3210715055465698,latam,p_2
31,1.0463525086379377e-06,0.06834205985069275,latam,p_2
0,2.6507927941565868e-06,0.019436664879322052,latam,p_3
1,1.6356019614249817e-06,0.01438352931290865,latam,p_3
2,1.4588290753181354e-07,0.012667767703533173,latam,p_3
3,9.334479500466841e-08,0.036436814814805984,latam,p_3
4,9.995785603678087e-07,0.018242809921503067,latam,p_3
5,5.354158361114969e-07,0.02842332050204277,latam,p_3
6,5.635425637251501e-08,0.07889945805072784,latam,p_3
7,1.0324627908175898e-07,0.050190504640340805,latam,p_3
8,1.836930962895167e-08,0.02234305813908577,latam,p_3
9,8.465424627956963e-08,0.05869099497795105,latam,p_3
10,3.1692078295009196e-08,0.012756479904055595,latam,p_3
11,1.0540392025859546e-07,0.13659706711769104,latam,p_3
12,3.312112539788359e-08,0.19851046800613403,latam,p_3
13,1.3949177812833113e-08,0.0304862093180418,latam,p_3
14,2.928771003496422e-08,0.01427376177161932,latam,p_3
15,8.562138020806742e-08,0.05459597706794739,latam,p_3
16,1.667020228524052e-07,0.009634830057621002,latam,p_3
17,9.28487295936975e-08,0.034465450793504715,latam,p_3
18,6.529191409754276e-07,0.010675250552594662,latam,p_3
19,7.525708269895404e-07,0.22011056542396545,latam,p_3
20,5.374199645302724e-07,0.173028826713562,latam,p_3
21,4.1211742995983514e-07,0.5754491090774536,latam,p_3
22,9.373420084557438e-07,0.35434940457344055,latam,p_3
23,6.337464242278656e-07,0.7349121570587158,latam,p_3
24,4.903711214865325e-06,0.49085941910743713,latam,p_3
25,7.720427674939856e-06,0.535089910030365,latam,p_3
26,8.662461368658114e-06,0.21483007073402405,latam,p_3
27,1.2713925571006257e-05,0.1320587545633316,latam,p_3
28,6.92502317178878e-06,0.08206528425216675,latam,p_3
29,9.936071364791133e-06,0.16050276160240173,latam,p_3
30,9.766406947164796e-06,0.5523815155029297,latam,p_3
31,2.0477964426390827e-06,0.14577575027942657,latam,p_3
0,7.170322646743443e-07,0.019436664879322052,latam,p_4
1,2.7020411152989254e-07,0.01438352931290865,latam,p_4
2,1.406429248618224e-07,0.012667767703533173,latam,p_4
3,1.4223827804471512e-07,0.036436814814805984,latam,p_4
4,2.508172087800631e-07,0.018242809921503067,latam,p_4
5,7.982875160905678e-08,0.02842332050204277,latam,p_4
6,1.621994556444406e-07,0.07889945805072784,latam,p_4
7,1.4573555517927161e-06,0.050190504640340805,latam,p_4
8,3.600601701236883e-07,0.02234305813908577,latam,p_4
9,2.0392675992297882e-07,0.05869099497795105,latam,p_4
10,1.4399870451597963e-07,0.012756479904055595,latam,p_4
11,1.293752092124123e-07,0.13659706711769104,latam,p_4
12,1.3005262644583127e-06,0.19851046800613403,latam,p_4
13,3.720707127286005e-06,0.0304862093180418,latam,p_4
14,6.292898433457594e-06,0.01427376177161932,latam,p_4
15,3.392901817278471e-07,0.05459597706794739,latam,p_4
16,1.5949761689171282e-07,0.009634830057621002,latam,p_4
17,1.2581844544001797e-07,0.034465450793504715,latam,p_4
18,2.394145326434227e-07,0.010675250552594662,latam,p_4
19,4.411415943650354e-07,0.22011056542396545,latam,p_4
20,4.582920212214958e-07,0.173028826713562,latam,p_4
21,9.969861594072427e-07,0.5754491090774536,latam,p_4
22,4.555443410936277e-06,0.35434940457344055,latam,p_4
23,6.501503548861365e-07,0.7349121570587158,latam,p_4
24,3.898949216818437e-06,0.49085941910743713,latam,p_4
25,1.767424919307814e-06,0.535089910030365,latam,p_4
26,7.5844823186344e-06,0.21483007073402405,latam,p_4
27,8.358807463082485e-06,0.1320587545633316,latam,p_4
