layer,ground_truth_prob,top_1_prob,region,prompt_id
0,3.945529897464439e-06,0.013200792483985424,latam,p_4705
1,2.047536554528051e-06,0.020471423864364624,latam,p_4705
2,1.3602773378806887e-06,0.07560279220342636,latam,p_4705
3,8.858383893084465e-08,0.006413163151592016,latam,p_4705
4,8.505767254973762e-06,0.009631295688450336,latam,p_4705
5,2.1678536086255917e-06,0.014553796499967575,latam,p_4705
6,1.3723736174142687e-06,0.025121381506323814,latam,p_4705
7,5.443681402539369e-06,0.017083220183849335,latam,p_4705
8,1.8230286968901055e-06,0.035170745104551315,latam,p_4705
9,1.1649525504253688e-06,0.05182890221476555,latam,p_4705
10,9.479743312112987e-06,0.006802068091928959,latam,p_4705
11,5.7925817600334994e-06,0.009228935465216637,latam,p_4705
12,2.6811931093106978e-06,0.014088436961174011,latam,p_4705
13,2.1256610125419684e-06,0.010602021589875221,latam,p_4705
14,6.691682756354567e-06,0.02154761739075184,latam,p_4705
15,1.529252767795697e-05,0.01595604605972767,latam,p_4705
16,9.25057406675478e-07,0.013655291870236397,latam,p_4705
17,7.96497715782607e-06,0.06483946740627289,latam,p_4705
18,8.960114428191446e-06,0.01906377263367176,latam,p_4705
19,1.937969500431791e-05,0.07247916609048843,latam,p_4705
20,2.5832452593022026e-05,0.030522413551807404,latam,p_4705
21,1.7369726265314966e-05,0.05951583385467529,latam,p_4705
22,1.701891960692592e-05,0.06509759277105331,latam,p_4705
23,2.0037936337757856e-05,0.06423471868038177,latam,p_4705
24,8.362121297977865e-05,0.04232850298285484,latam,p_4705
25,1.9121165678370744e-05,0.02873401716351509,latam,p_4705
26,1.5369008906418458e-05,0.020937535911798477,latam,p_4705
27,1.2581167538883165e-05,0.018698526546359062,latam,p_4705
28,5.163841706234962e-06,0.04794049635529518,latam,p_4705
29,5.223953394306591e-06,0.06218276172876358,latam,p_4705
30,3.2637190088280477e-06,0.2268592268228531,latam,p_4705
31,5.521502316696569e-06,0.15172706544399261,latam,p_4705
0,2.8050268952029e-07,0.013547142036259174,latam,p_4706
1,1.004822024697205e-06,0.017717037349939346,latam,p_4706
2,1.029554027809354e-06,0.019128907471895218,latam,p_4706
3,1.2838700058637187e-06,0.008236641995608807,latam,p_4706
4,7.781020030961372e-06,0.01748702861368656,latam,p_4706
5,1.964823468370014e-06,0.03183401748538017,latam,p_4706
6,3.8234122712310636e-07,0.016529031097888947,latam,p_4706
7,9.341104600935068e-08,0.08729542046785355,latam,p_4706
8,2.378030075078641e-07,0.03611325845122337,latam,p_4706
9,1.806631786394064e-07,0.06747440993785858,latam,p_4706
10,8.415216257162683e-08,0.014534085057675838,latam,p_4706
11,5.091008006274933e-07,0.017551513388752937,latam,p_4706
12,4.4299460455476947e-07,0.01636488549411297,latam,p_4706
13,1.0359644875279628e-06,0.013568444177508354,latam,p_4706
14,3.4194627573924663e-07,0.014944078400731087,latam,p_4706
15,3.16718768544888e-07,0.012205865234136581,latam,p_4706
16,1.425274831490242e-07,0.012845996767282486,latam,p_4706
17,8.088980507636734e-07,0.022191423922777176,latam,p_4706
18,5.143739940649539e-07,0.05667643994092941,latam,p_4706
19,1.2632227708309074e-06,0.10294821858406067,latam,p_4706
20,1.7637020164329442e-06,0.10900609195232391,latam,p_4706
21,1.3761768968834076e-06,0.0658179223537445,latam,p_4706
22,1.2586619959620293e-06,0.11953441798686981,latam,p_4706
23,1.5369088259831187e-06,0.06250840425491333,latam,p_4706
24,2.0039171886310214e-06,0.04430824890732765,latam,p_4706
25,1.4487351336356369e-06,0.09657236933708191,latam,p_4706
26,2.2269407509156736e-06,0.10456417500972748,latam,p_4706
27,1.5819842928976868e-06,0.07618071138858795,latam,p_4706
28,7.01858596130478e-07,0.20228475332260132,latam,p_4706
29,4.4577234348253114e-07,0.05235401913523674,latam,p_4706
30,3.322171266972873e-07,0.18676972389221191,latam,p_4706
31,7.106933139766625e-07,0.1352752149105072,latam,p_4706
0,4.05751598009374e-06,0.019216353073716164,latam,p_4707
1,1.6000951745809289e-06,0.025672046467661858,latam,p_4707
2,1.713402980385581e-06,0.03780902177095413,latam,p_4707
3,1.2743242905344232e-07,0.006760696414858103,latam,p_4707
4,5.649325885315193e-06,0.013381433673202991,latam,p_4707
5,2.1090997961437097e-06,0.0237695574760437,latam,p_4707
6,1.6837545899761608e-06,0.048973966389894485,latam,p_4707
7,3.194454848198802e-06,0.010750152170658112,latam,p_4707
8,1.11621011456009e-06,0.01822565495967865,latam,p_4707
9,2.38003303820733e-06,0.026941830292344093,latam,p_4707
10,7.03404384694295e-06,0.011741628870368004,latam,p_4707
11,4.8690994844946545e-06,0.02600312978029251,latam,p_4707
12,4.020115284220083e-06,0.021365663036704063,latam,p_4707
13,3.055379011129844e-06,0.01718650944530964,latam,p_4707
14,6.18054127698997e-06,0.019748320803046227,latam,p_4707
15,1.8238944903714582e-05,0.015309706330299377,latam,p_4707
16,1.6095580122055253e-06,0.026787200942635536,latam,p_4707
17,4.068131147505483e-06,0.15375693142414093,latam,p_4707
18,7.082272077241214e-06,0.040719084441661835,latam,p_4707
19,3.118863969575614e-05,0.11022584140300751,latam,p_4707
20,4.0310798794962466e-05,0.03595488518476486,latam,p_4707
21,2.4979512090794742e-05,0.0751023143529892,latam,p_4707
22,1.1797728802775964e-05,0.08329040557146072,latam,p_4707
23,1.661161149968393e-05,0.06577403098344803,latam,p_4707
24,5.0385631766403094e-05,0.05153970792889595,latam,p_4707
25,1.535416413389612e-05,0.028012804687023163,latam,p_4707
26,1.3907691936765332e-05,0.022671371698379517,latam,p_4707
27,6.7165542532166e-06,0.023162836208939552,latam,p_4707
28,3.1385811780637596e-06,0.024050435051321983,latam,p_4707
29,4.801267550647026e-06,0.02602221630513668,latam,p_4707
30,4.746425474877469e-06,0.14582884311676025,latam,p_4707
31,6.226098776096478e-06,0.10417451709508896,latam,p_4707
0,5.142571353644598e-06,0.019580865278840065,latam,p_4708
1,3.0977112146501895e-06,0.018957216292619705,latam,p_4708
2,7.636696864210535e-06,0.06715059280395508,latam,p_4708
3,3.552104033133219e-07,0.015612307004630566,latam,p_4708
4,2.7618243620963767e-06,0.015224459581077099,latam,p_4708
5,5.329241048457334e-07,0.02211383730173111,latam,p_4708
6,4.9085076625488e-07,0.01721426472067833,latam,p_4708
7,2.194169610447716e-06,0.021320581436157227,latam,p_4708
8,2.078702664221055e-06,0.01992230862379074,latam,p_4708
9,3.6330384318716824e-06,0.030133718624711037,latam,p_4708
10,1.4913711083863745e-06,0.018443377688527107,latam,p_4708
11,9.163561003333598e-07,0.02839886024594307,latam,p_4708
12,5.971486643829849e-06,0.054278481751680374,latam,p_4708
13,9.012957889353856e-06,0.15131857991218567,latam,p_4708
14,6.607189675378322e-07,0.08675828576087952,latam,p_4708
15,4.643791271519149e-06,0.02220384031534195,latam,p_4708
16,1.3920184755988885e-06,0.013683048076927662,latam,p_4708
17,5.10385189045337e-06,0.019584622234106064,latam,p_4708
18,8.042989065870643e-06,0.010604285635054111,latam,p_4708
19,5.707206219085492e-05,0.01729215681552887,latam,p_4708
20,3.505324639263563e-05,0.013428234495222569,latam,p_4708
21,2.3955335564096458e-05,0.019045213237404823,latam,p_4708
22,2.8371972803142853e-05,0.011136450804769993,latam,p_4708
23,5.204954868531786e-05,0.02637402154505253,latam,p_4708
24,0.00013007524830754846,0.02470988966524601,latam,p_4708
25,2.346218934690114e-05,0.025955457240343094,latam,p_4708
26,1.7070397007046267e-05,0.05927580967545509,latam,p_4708
27,1.8235401512356475e-05,0.13288646936416626,latam,p_4708
28,2.0539364413707517e-06,0.45323121547698975,latam,p_4708
29,1.0244135637549334e-06,0.4444178342819214,latam,p_4708
30,2.914161541411886e-06,0.5743356943130493,latam,p_4708
31,1.5317258657887578e-05,0.32724061608314514,latam,p_4708
0,2.5401692482773797e-07,0.013232122175395489,latam,p_4709
1,1.4042328189134423e-07,0.013304161839187145,latam,p_4709
2,3.9008230601211835e-07,0.019192656502127647,latam,p_4709
3,7.83750166988284e-08,0.01122722402215004,latam,p_4709
4,5.985730666679956e-08,0.006864367984235287,latam,p_4709
5,1.1749115458314918e-07,0.015157615765929222,latam,p_4709
6,5.5513531549422623e-08,0.008035947568714619,latam,p_4709
7,5.893139842783057e-08,0.009453993290662766,latam,p_4709
8,7.708271141382284e-07,0.009953122586011887,latam,p_4709
9,8.348940241376113e-07,0.0060055796056985855,latam,p_4709
10,2.5897509203787195e-06,0.0067853075452148914,latam,p_4709
11,2.1888256469537737e-06,0.018517689779400826,latam,p_4709
12,1.1637595065394635e-07,0.018470460548996925,latam,p_4709
13,1.6240232980635483e-07,0.012806233018636703,latam,p_4709
14,4.9868006612996396e-08,0.011305625550448895,latam,p_4709
15,5.368636379898817e-08,0.009436104446649551,latam,p_4709
16,5.2280689999406604e-08,0.018148096278309822,latam,p_4709
17,9.405388254890568e-07,0.0548136904835701,latam,p_4709
18,2.0224806576152332e-06,0.027245188131928444,latam,p_4709
19,1.5570326468150597e-06,0.04710035398602486,latam,p_4709
20,1.5484527011722093e-06,0.025396235287189484,latam,p_4709
21,9.208477536049031e-07,0.01922505535185337,latam,p_4709
22,2.496914248695248e-06,0.016696974635124207,latam,p_4709
23,2.2243086732487427e-06,0.030367720872163773,latam,p_4709
24,1.6461210634588497e-06,0.0386153869330883,latam,p_4709
25,1.2014161256956868e-06,0.0345570407807827,latam,p_4709
26,1.5041790675240918e-06,0.04048364609479904,latam,p_4709
27,1.3902954378863797e-06,0.04592977464199066,latam,p_4709
