layer,ground_truth_prob,top_1_prob,region,prompt_id
0,2.95958013651898e-08,0.1684761494398117,latam,p_2823
1,1.137796257211221e-08,0.20523126423358917,latam,p_2823
2,2.6409207265487566e-08,0.30616283416748047,latam,p_2823
3,1.1997556725873437e-08,0.04070238023996353,latam,p_2823
4,1.9424766151132644e-07,0.02122998982667923,latam,p_2823
5,8.6882224081819e-08,0.34989944100379944,latam,p_2823
6,3.802950487852286e-08,0.45982348918914795,latam,p_2823
7,1.1188696902308948e-07,0.3272510766983032,latam,p_2823
8,1.0553725360296085e-07,0.12779976427555084,latam,p_2823
9,8.057457989707473e-08,0.22659704089164734,latam,p_2823
10,2.219206180598121e-06,0.11660937964916229,latam,p_2823
11,1.2672471711994149e-05,0.09354063868522644,latam,p_2823
12,2.2912498025107197e-05,0.09093542397022247,latam,p_2823
13,1.527744643681217e-05,0.29709288477897644,latam,p_2823
14,1.1338993317622226e-05,0.10350742936134338,latam,p_2823
15,3.088355470026727e-06,0.2945355176925659,latam,p_2823
16,3.258322976762429e-06,0.289352685213089,latam,p_2823
17,7.899336196715012e-06,0.20182672142982483,latam,p_2823
18,1.586097278050147e-05,0.14638762176036835,latam,p_2823
19,5.724634775106097e-06,0.06782352924346924,latam,p_2823
20,4.227215413266094e-06,0.09871876984834671,latam,p_2823
21,3.354101863806136e-06,0.06466452777385712,latam,p_2823
22,2.143125584552763e-06,0.08199965953826904,latam,p_2823
23,1.6171686638699612e-06,0.42405033111572266,latam,p_2823
24,9.99703388515627e-06,0.05718858167529106,latam,p_2823
25,3.060833114432171e-05,0.208379864692688,latam,p_2823
26,1.7746308003552258e-05,0.20295701920986176,latam,p_2823
27,8.084022738330532e-06,0.17687147855758667,latam,p_2823
28,2.2790086404711474e-06,0.16903603076934814,latam,p_2823
29,6.598988306905085e-07,0.34962043166160583,latam,p_2823
30,3.101799279647821e-07,0.18649324774742126,latam,p_2823
31,2.0544518974929815e-07,0.519551694393158,latam,p_2823
32,3.224471711860133e-08,0.852424144744873,latam,p_2823
33,2.0759179097940006e-10,0.8621845245361328,latam,p_2823
34,1.819075001741055e-09,0.524466872215271,latam,p_2823
35,3.496302269923035e-07,0.32627472281455994,latam,p_2823
0,2.95958013651898e-08,0.1684761494398117,latam,p_2824
1,1.137796257211221e-08,0.20523126423358917,latam,p_2824
2,2.6409207265487566e-08,0.30616283416748047,latam,p_2824
3,1.1997556725873437e-08,0.04070238023996353,latam,p_2824
4,1.9424766151132644e-07,0.02122998982667923,latam,p_2824
5,8.6882224081819e-08,0.34989944100379944,latam,p_2824
6,3.802950487852286e-08,0.45982348918914795,latam,p_2824
7,1.1188696902308948e-07,0.3272510766983032,latam,p_2824
8,1.0553725360296085e-07,0.12779976427555084,latam,p_2824
9,8.057457989707473e-08,0.22659704089164734,latam,p_2824
10,2.219206180598121e-06,0.11660937964916229,latam,p_2824
11,1.2672471711994149e-05,0.09354063868522644,latam,p_2824
12,2.2912498025107197e-05,0.09093542397022247,latam,p_2824
13,1.527744643681217e-05,0.29709288477897644,latam,p_2824
14,1.1338993317622226e-05,0.10350742936134338,latam,p_2824
15,3.088355470026727e-06,0.2945355176925659,latam,p_2824
16,3.258322976762429e-06,0.289352685213089,latam,p_2824
17,7.899336196715012e-06,0.20182672142982483,latam,p_2824
18,1.586097278050147e-05,0.14638762176036835,latam,p_2824
19,5.724634775106097e-06,0.06782352924346924,latam,p_2824
20,4.227215413266094e-06,0.09871876984834671,latam,p_2824
21,3.354101863806136e-06,0.06466452777385712,latam,p_2824
22,2.143125584552763e-06,0.08199965953826904,latam,p_2824
23,1.6171686638699612e-06,0.42405033111572266,latam,p_2824
24,9.99703388515627e-06,0.05718858167529106,latam,p_2824
25,3.060833114432171e-05,0.208379864692688,latam,p_2824
26,1.7746308003552258e-05,0.20295701920986176,latam,p_2824
27,8.084022738330532e-06,0.17687147855758667,latam,p_2824
28,2.2790086404711474e-06,0.16903603076934814,latam,p_2824
29,6.598988306905085e-07,0.34962043166160583,latam,p_2824
30,3.101799279647821e-07,0.18649324774742126,latam,p_2824
31,2.0544518974929815e-07,0.519551694393158,latam,p_2824
32,3.224471711860133e-08,0.852424144744873,latam,p_2824
33,2.0759179097940006e-10,0.8621845245361328,latam,p_2824
34,1.819075001741055e-09,0.524466872215271,latam,p_2824
35,3.496302269923035e-07,0.32627472281455994,latam,p_2824
0,2.95958013651898e-08,0.1684761494398117,latam,p_2825
1,1.137796257211221e-08,0.20523126423358917,latam,p_2825
2,2.6409207265487566e-08,0.30616283416748047,latam,p_2825
3,1.1997556725873437e-08,0.04070238023996353,latam,p_2825
4,1.9424766151132644e-07,0.02122998982667923,latam,p_2825
5,8.6882224081819e-08,0.34989944100379944,latam,p_2825
6,3.802950487852286e-08,0.45982348918914795,latam,p_2825
7,1.1188696902308948e-07,0.3272510766983032,latam,p_2825
8,1.0553725360296085e-07,0.12779976427555084,latam,p_2825
9,8.057457989707473e-08,0.22659704089164734,latam,p_2825
10,2.219206180598121e-06,0.11660937964916229,latam,p_2825
11,1.2672471711994149e-05,0.09354063868522644,latam,p_2825
12,2.2912498025107197e-05,0.09093542397022247,latam,p_2825
13,1.527744643681217e-05,0.29709288477897644,latam,p_2825
14,1.1338993317622226e-05,0.10350742936134338,latam,p_2825
15,3.088355470026727e-06,0.2945355176925659,latam,p_2825
16,3.258322976762429e-06,0.289352685213089,latam,p_2825
17,7.899336196715012e-06,0.20182672142982483,latam,p_2825
18,1.586097278050147e-05,0.14638762176036835,latam,p_2825
19,5.724634775106097e-06,0.06782352924346924,latam,p_2825
20,4.227215413266094e-06,0.09871876984834671,latam,p_2825
21,3.354101863806136e-06,0.06466452777385712,latam,p_2825
22,2.143125584552763e-06,0.08199965953826904,latam,p_2825
23,1.6171686638699612e-06,0.42405033111572266,latam,p_2825
24,9.99703388515627e-06,0.05718858167529106,latam,p_2825
25,3.060833114432171e-05,0.208379864692688,latam,p_2825
26,1.7746308003552258e-05,0.20295701920986176,latam,p_2825
27,8.084022738330532e-06,0.17687147855758667,latam,p_2825
28,2.2790086404711474e-06,0.16903603076934814,latam,p_2825
29,6.598988306905085e-07,0.34962043166160583,latam,p_2825
30,3.101799279647821e-07,0.18649324774742126,latam,p_2825
31,2.0544518974929815e-07,0.519551694393158,latam,p_2825
32,3.224471711860133e-08,0.852424144744873,latam,p_2825
33,2.0759179097940006e-10,0.8621845245361328,latam,p_2825
34,1.819075001741055e-09,0.524466872215271,latam,p_2825
35,3.496302269923035e-07,0.32627472281455994,latam,p_2825
0,2.95958013651898e-08,0.1684761494398117,latam,p_2826
1,1.137796257211221e-08,0.20523126423358917,latam,p_2826
2,2.6409207265487566e-08,0.30616283416748047,latam,p_2826
3,1.1997556725873437e-08,0.04070238023996353,latam,p_2826
4,1.9424766151132644e-07,0.02122998982667923,latam,p_2826
5,8.6882224081819e-08,0.34989944100379944,latam,p_2826
6,3.802950487852286e-08,0.45982348918914795,latam,p_2826
7,1.1188696902308948e-07,0.3272510766983032,latam,p_2826
