layer,ground_truth_prob,top_1_prob,region,prompt_id
0,1.714243330619425e-10,0.19530966877937317,latam,p_4705
1,1.5379175710705795e-10,0.09728454053401947,latam,p_4705
2,1.1742957994886893e-10,0.08664353936910629,latam,p_4705
3,6.936654028955047e-10,0.0898636132478714,latam,p_4705
4,1.0963569962996189e-07,0.05426859110593796,latam,p_4705
5,1.6321365592375514e-07,0.032342132180929184,latam,p_4705
6,1.3343924365472049e-07,0.06545627117156982,latam,p_4705
7,8.725841382783983e-08,0.03654008358716965,latam,p_4705
8,6.745617042724916e-08,0.023442812263965607,latam,p_4705
9,8.641607962545095e-08,0.15732760727405548,latam,p_4705
10,2.6201858460694893e-08,0.05931342765688896,latam,p_4705
11,1.7389073292406465e-08,0.17225664854049683,latam,p_4705
12,1.9063479683723017e-09,0.48232799768447876,latam,p_4705
13,1.6733392449452822e-09,0.34709489345550537,latam,p_4705
14,2.0884328988390877e-10,0.24416178464889526,latam,p_4705
15,2.7590432716273483e-10,0.3923024833202362,latam,p_4705
16,3.4739194854083166e-10,0.5036166310310364,latam,p_4705
17,6.8994546187362e-11,0.543601393699646,latam,p_4705
18,5.1881467871828235e-11,0.8849297761917114,latam,p_4705
19,1.8814502733555116e-10,0.9780023694038391,latam,p_4705
20,3.1264903860295234e-11,0.9689756035804749,latam,p_4705
21,1.709388325332739e-10,0.9374282956123352,latam,p_4705
22,1.9259312894481795e-11,0.8987127542495728,latam,p_4705
23,2.655456150107982e-13,0.9927152991294861,latam,p_4705
24,1.467708767022291e-12,0.887049674987793,latam,p_4705
25,2.145592731261914e-14,0.9609048366546631,latam,p_4705
26,5.6603508636959496e-14,0.9775722622871399,latam,p_4705
27,7.289177941793845e-13,0.9796531200408936,latam,p_4705
28,1.3728004193483412e-12,0.9234163761138916,latam,p_4705
29,8.995221234542328e-12,0.34780946373939514,latam,p_4705
30,2.83436685580285e-12,0.9340943098068237,latam,p_4705
31,6.991615619789115e-11,0.5423233509063721,latam,p_4705
32,1.8899588838383607e-10,0.4753979444503784,latam,p_4705
33,2.7707087735251434e-09,0.41977742314338684,latam,p_4705
34,1.737884645081067e-07,0.48529940843582153,latam,p_4705
35,1.9584356323321117e-06,0.2443232238292694,latam,p_4705
0,1.8751858399390642e-10,0.15462279319763184,latam,p_4706
1,9.197295702811914e-11,0.08630381524562836,latam,p_4706
2,5.978696981934206e-10,0.05341412127017975,latam,p_4706
3,3.1574793890598585e-09,0.10852762311697006,latam,p_4706
4,3.224925393396916e-08,0.04586018994450569,latam,p_4706
5,2.0781800458280486e-07,0.41526544094085693,latam,p_4706
6,2.461518420204811e-07,0.5555477142333984,latam,p_4706
7,2.3522466108261142e-07,0.04003392904996872,latam,p_4706
8,3.221495603611402e-07,0.1268123984336853,latam,p_4706
9,1.5388980756370074e-08,0.10326055437326431,latam,p_4706
10,2.3177733066148676e-09,0.047936636954545975,latam,p_4706
11,2.55684202699058e-08,0.03977962210774422,latam,p_4706
12,1.787991799062638e-08,0.046904563903808594,latam,p_4706
13,7.067377350011839e-09,0.1297004073858261,latam,p_4706
14,1.7970243959553045e-08,0.0916549414396286,latam,p_4706
15,1.9088193248251173e-09,0.044209688901901245,latam,p_4706
16,6.345846625954721e-10,0.03158702328801155,latam,p_4706
17,2.0471311312775242e-09,0.05678080394864082,latam,p_4706
18,1.0791734172954648e-09,0.049882762134075165,latam,p_4706
19,7.557091841192687e-09,0.09568794071674347,latam,p_4706
20,2.2534635490956134e-08,0.12836477160453796,latam,p_4706
21,5.976104944238614e-08,0.12329446524381638,latam,p_4706
22,1.801507565346583e-08,0.1927805095911026,latam,p_4706
23,2.162589574083995e-08,0.24538178741931915,latam,p_4706
24,4.8969688748456974e-08,0.12774382531642914,latam,p_4706
25,1.3960853806338491e-08,0.31102675199508667,latam,p_4706
26,7.883469876901472e-09,0.22856515645980835,latam,p_4706
27,1.5351480087133496e-09,0.25218090415000916,latam,p_4706
28,7.463577533783905e-10,0.1883435845375061,latam,p_4706
29,4.674910680790845e-09,0.08606941252946854,latam,p_4706
30,1.043450126303469e-08,0.1567046195268631,latam,p_4706
31,6.953445375046385e-09,0.15925367176532745,latam,p_4706
32,9.657587618505659e-09,0.2215784639120102,latam,p_4706
33,7.688142344974835e-10,0.7607279419898987,latam,p_4706
34,5.630373500764563e-09,0.5183008313179016,latam,p_4706
35,1.9756478764065832e-07,0.2255871742963791,latam,p_4706
0,1.4431546235815773e-10,0.1536952257156372,latam,p_4707
1,1.0671920291915882e-10,0.10243673622608185,latam,p_4707
2,1.0226638286203737e-10,0.0990312322974205,latam,p_4707
3,6.229547988567674e-10,0.06390990316867828,latam,p_4707
4,1.0415377005301707e-07,0.04594860225915909,latam,p_4707
5,1.1725921211791501e-07,0.036291662603616714,latam,p_4707
6,1.3104154561460746e-07,0.07358137518167496,latam,p_4707
7,8.762459913214116e-08,0.04905007779598236,latam,p_4707
8,1.0370997216568867e-07,0.05636904761195183,latam,p_4707
9,4.912317663752219e-08,0.25979796051979065,latam,p_4707
10,1.75218364262264e-08,0.059376101940870285,latam,p_4707
11,8.479975832642594e-09,0.10142620652914047,latam,p_4707
12,2.132414245181735e-09,0.24660739302635193,latam,p_4707
